0.6742788 0.670131 0.8181094 0.90759516 0.18955512 0.00523967 0.6669448 0.42468035 0.35055077 0.5795455 output (0, 3) (0, 1) (0, 4) (2, 4)
0.06064764 0.6575196 0.57739425 0.96230817 0.59888107 0.46797305 0.71487767 0.27255824 0.77945846 0.67109746 output (0, 2) (1, 4) (2, 3) (2, 4)
0.20757282 0.82509035 0.99995196 0.0091847405 0.60153896 0.4601787 0.5136708 0.06606074 0.88158345 0.28018254 output (0, 2) (1, 4) (2, 4) (2, 3)
0.34745425 0.3877257 0.41632348 0.017235262 0.042629886 0.9578041 0.60642105 0.14003079 0.32437268 0.42052868 output (0, 4) (0, 3) (1, 3) (2, 4)
0.9006094 0.40065998 0.893337 0.7127223 0.10739601 0.045330748 0.2483124 0.40572864 0.68919545 0.32943603 output (0, 4) (0, 1) (2, 3) (3, 4)
0.73647404 0.32096705 0.60005355 0.13812576 0.32012343 0.35007742 0.4159863 0.13198473 0.63696826 0.2713444 output (0, 4) (1, 4) (1, 3) (2, 3)
0.48331067 0.29012856 0.31067464 0.5827583 0.7555323 0.3968357 0.8217068 0.5811875 0.5671956 0.38585716 output (0, 4) (1, 4) (2, 4) (2, 3)
0.28087333 0.69525534 0.84765255 0.8270662 0.5041282 0.9754219 0.8800598 0.5502104 0.29472184 0.80310357 output (0, 4) (1, 3) (1, 2) (2, 4)
0.3044861 0.36373922 0.67631745 0.2799342 0.4642053 0.52777267 0.9444682 0.91071767 0.3064498 0.3776271 output (0, 4) (1, 2) (2, 4) (2, 3)
0.15206526 0.6005063 0.10864727 0.65895873 0.07886145 0.46363884 0.3565707 0.5539101 0.040149592 0.83920795 output (0, 1) (0, 2) (0, 3) (1, 4)
0.9991249 0.25439382 0.4974386 0.89026904 0.692016 0.031652495 0.6185813 0.2521046 0.7882022 0.31515604 output (0, 4) (1, 4) (2, 3) (3, 4)
0.55051774 0.9035196 0.23789787 0.72406894 0.53349423 0.56324035 0.90364933 0.42946947 0.16146465 0.43520698 output (0, 2) (1, 4) (1, 2) (2, 3)
0.24422711 0.29745406 0.26786056 0.25801003 0.41771635 0.5549046 0.85410273 0.21193701 0.48853293 0.9693302 output (0, 1) (0, 2) (2, 4) (2, 3)
0.7708397 0.6263728 0.3993946 0.12948817 0.7971273 0.27534723 0.2143059 0.32291135 0.9249899 0.95607144 output (0, 2) (0, 4) (1, 3) (1, 2)
0.62056226 0.43187165 0.77282524 0.36201978 0.824807 0.6500327 0.18745169 0.56948984 0.6359601 0.27404994 output (0, 4) (0, 3) (1, 4) (1, 2)
0.54443693 0.96155804 0.25536528 0.8747349 0.41367564 0.74621075 0.8696826 0.83047444 0.08337363 0.67650855 output (0, 2) (0, 3) (1, 2) (1, 4)
0.5343927 0.21816808 0.32188222 0.0037108052 0.9225463 0.65346813 0.9828106 0.91024286 0.283612 0.6889727 output (0, 1) (0, 4) (0, 2) (2, 3)
0.4960522 0.5207309 0.31250823 0.5224224 0.04150412 0.5119992 0.86605334 0.7581551 0.66328895 0.6090096 output (0, 1) (0, 4) (1, 2) (3, 4)
0.27703267 0.43825987 0.6722054 0.70736724 0.66426617 0.52052677 0.8376041 0.84071696 0.44422263 0.055845026 output (0, 2) (0, 4) (1, 2) (1, 3)
0.77656883 0.66216964 0.98246115 0.31062984 0.009310284 0.03083714 0.7313399 0.65335685 0.6996142 0.5519136 output (0, 3) (1, 4) (2, 4) (3, 4)
0.7433368 0.117103755 0.22606185 0.8034723 0.8464257 0.79397947 0.4842903 0.6779226 0.762003 0.18524106 output (0, 4) (1, 3) (2, 3) (3, 4)
0.8799772 0.5378775 0.33884385 0.34537372 0.38571188 0.015397318 0.6299593 0.56340903 0.24131122 0.4763809 output (0, 3) (1, 4) (1, 2) (1, 3)
0.08219957 0.7604148 0.8652483 0.9045368 0.56451535 0.7983131 0.42176268 0.51934165 0.012479649 0.9769882 output (0, 4) (0, 3) (1, 2) (2, 3)
0.62518716 0.12970349 0.014488414 0.55043924 0.18147181 0.73881894 0.07549928 0.5515644 0.7762309 0.8498012 output (0, 3) (1, 3) (2, 3) (2, 4)
0.57449013 0.021027397 0.6866627 0.39591235 0.93233395 0.66232306 0.23248857 0.5730909 0.4731692 0.335886 output (0, 4) (1, 4) (1, 2) (3, 4)
0.17282234 0.7192392 0.25932714 0.8714998 0.23763664 0.6338578 0.52455604 0.34815133 0.46409616 0.011383446 output (0, 2) (0, 1) (2, 3) (3, 4)
0.6956895 0.6003322 0.24215546 0.559766 0.1292012 0.9696556 0.15657255 0.55661356 0.8995685 0.45214143 output (0, 4) (0, 1) (1, 3) (2, 3)
0.23652102 0.55796367 0.18440337 0.9137434 0.33514208 0.68102634 0.46368006 0.9442443 0.13069941 0.23207931 output (0, 2) (0, 4) (1, 2) (1, 3)
0.4685181 0.91386473 0.22886531 0.74380213 0.87214595 0.20509127 0.62214345 0.92995137 0.7076606 0.76425344 output (0, 3) (0, 1) (2, 4) (3, 4)
0.42866698 0.2904324 0.3602354 0.06951058 0.40326414 0.98240846 0.97696406 0.6717531 0.31557944 0.010866709 output (0, 1) (0, 3) (1, 4) (2, 3)
0.63719934 0.5214149 0.7471304 0.17390485 0.15242454 0.39622134 0.5467612 0.19814843 0.34755278 0.9380161 output (0, 3) (0, 4) (1, 3) (2, 3)
0.116530314 0.19956094 0.61997753 0.37880152 0.535637 0.53030014 0.08375785 0.74345106 0.13233562 0.2691028 output (0, 4) (1, 2) (2, 4) (3, 4)
0.46865457 0.2778004 0.348432 0.997245 0.82165647 0.7261661 0.9602053 0.59093976 0.762231 0.4023147 output (0, 4) (1, 2) (2, 3) (3, 4)
0.37687695 0.85776025 0.8659497 0.9923631 0.77397263 0.9677942 0.54366237 0.69146657 0.2626612 0.037149288 output (0, 3) (1, 2) (2, 3) (3, 4)
0.99235415 0.2642822 0.2417937 0.023494735 0.2341564 0.03438631 0.60272187 0.22911529 0.8311515 0.14164062 output (0, 4) (1, 2) (1, 3) (3, 4)
0.58244884 0.94839334 0.7717771 0.25177854 0.87161386 0.4427917 0.8284503 0.16709903 0.09273029 0.012873844 output (0, 2) (1, 3) (1, 2) (1, 4)
0.0514944 0.3097874 0.24744368 0.26252407 0.82141757 0.90741026 0.7797134 0.62732065 0.79735607 0.12691702 output (0, 1) (1, 4) (2, 3) (3, 4)
0.41520864 0.6347098 0.51432925 0.74654156 0.835716 0.43327573 0.7351508 0.49022007 0.55095655 0.9679184 output (0, 1) (1, 4) (1, 3) (2, 3)
0.6253657 0.6612408 0.07599679 0.3454876 0.52926373 0.78522694 0.92924535 0.04260588 0.07596539 0.5549944 output (0, 2) (0, 3) (1, 4) (2, 4)
0.70309836 0.30310568 0.6097845 0.31111655 0.42177576 0.46548268 0.8234065 0.28564632 0.7062311 0.31465155 output (0, 4) (0, 1) (1, 2) (3, 4)
0.15459579 0.17229396 5.1404462e-05 0.3666734 0.14312501 0.3637752 0.9398062 0.15019017 0.22689566 0.92507964 output (0, 2) (0, 3) (1, 2) (2, 4)
0.5808889 0.19890383 0.21991894 0.86212903 0.6448986 0.50250584 0.90587187 0.11668802 0.86680084 0.36266488 output (0, 2) (1, 2) (2, 4) (3, 4)
0.93196225 0.25805447 0.8827492 0.13880298 0.23692663 0.94847816 0.9036777 0.87036604 0.9988741 0.15280579 output (0, 4) (0, 3) (1, 4) (2, 3)
0.5210169 0.8484301 0.9874124 0.6055074 0.33333385 0.6524049 0.15952732 0.071918584 0.8491611 0.56680477 output (0, 2) (0, 4) (1, 4) (2, 3)
0.7024745 0.29493636 0.5784916 0.6645712 0.1253695 0.9421465 0.60410124 0.028811434 0.42089817 0.27010697 output (0, 4) (0, 3) (0, 1) (1, 2)
0.93042964 0.25913182 0.47513437 0.5820585 0.84235305 0.39535394 0.8723733 0.6397151 0.26599526 0.4417659 output (0, 2) (1, 4) (1, 3) (2, 3)
0.8030254 0.5400207 0.3929072 0.9125921 0.6871039 0.5728101 0.3331428 0.79302096 0.4605054 0.5705463 output (0, 2) (1, 3) (2, 4) (3, 4)
0.9163285 0.25167975 0.7297973 0.37357995 0.9929978 0.961873 0.44123974 0.4896284 0.45970953 0.8496977 output (0, 1) (1, 3) (2, 4) (3, 4)
0.9446801 0.44674397 0.13337651 0.13320543 0.42787302 0.32480407 0.44522566 0.45208514 0.6244183 0.2798358 output (0, 4) (1, 2) (2, 3) (2, 4)
0.08061012 0.2922662 0.554289 0.34278482 0.54448026 0.39751193 0.88073844 0.2638249 0.31118107 0.85507804 output (0, 2) (1, 2) (1, 3) (2, 4)
0.32141104 0.16099364 0.27846494 0.5520598 0.42500487 0.33926445 0.93746823 0.073531814 0.13209882 0.3008002 output (0, 2) (0, 4) (1, 2) (2, 3)
0.71550465 0.6712966 0.21267883 0.3316348 0.25683385 0.84911054 0.40888438 0.41966453 0.30693504 0.83087796 output (0, 3) (1, 3) (2, 4) (3, 4)
0.11729551 0.08438787 0.12915024 0.91760105 0.95700496 0.55560625 0.2542865 0.96494365 0.99310553 0.87170416 output (0, 1) (1, 3) (2, 4) (3, 4)
0.40960097 0.2469873 0.7209191 0.31730762 0.35864863 0.842168 0.01668682 0.161161 0.121384196 0.47171238 output (0, 1) (0, 4) (2, 4) (3, 4)
0.022183405 0.29324368 0.5415762 0.07826948 0.40591833 0.79544455 0.22864147 0.093218446 0.020125136 0.42551464 output (0, 4) (0, 3) (1, 3) (2, 4)
0.6825781 0.77444595 0.023619661 0.8739033 0.45255706 0.92751765 0.27789298 0.21822615 0.32632855 0.027470075 output (0, 2) (0, 3) (1, 2) (3, 4)
0.98038685 0.44750878 0.8180205 0.6968402 0.16256455 0.2111517 0.041475315 0.4124357 0.016232684 0.2672403 output (0, 1) (1, 2) (2, 4) (3, 4)
0.11279588 0.57343507 0.47277433 0.55598557 0.48410583 0.4432699 0.571907 0.5280925 0.6875083 0.90385836 output (0, 1) (1, 3) (1, 2) (3, 4)
0.7379044 0.3170549 0.54726624 0.44579437 0.5757949 0.7947894 0.22044058 0.08168912 0.84890026 0.13103618 output (0, 4) (0, 1) (1, 2) (1, 3)
0.34649011 0.30670395 0.83149123 0.36639404 0.38158807 0.3683357 0.10877264 0.87181115 0.97304153 0.95029366 output (0, 2) (1, 2) (1, 4) (2, 3)
0.024277091 0.9132084 0.50542945 0.9740038 0.095793776 0.5963388 0.40671414 0.35211828 0.07388541 0.22491166 output (0, 2) (0, 1) (2, 4) (3, 4)
0.58807755 0.30625674 0.23465298 0.6143946 0.48518026 0.533904 0.4562407 0.4885665 0.40896586 0.297581 output (0, 4) (1, 3) (2, 3) (3, 4)
0.8492805 0.9514624 0.4897914 0.49796134 0.41822988 0.923351 0.24364461 0.65229404 0.2078914 0.6108111 output (0, 2) (1, 3) (2, 3) (3, 4)
0.85458374 0.5973498 0.8468481 0.26547563 0.9798997 0.56799185 0.40875345 0.4357764 0.7640097 0.8854432 output (0, 2) (0, 4) (1, 2) (1, 3)
0.4784068 0.9061736 0.40925252 0.49624777 0.9395749 0.8173986 0.44059986 0.0024747385 0.4587605 0.91081464 output (0, 4) (0, 1) (0, 2) (1, 3)
0.6659299 0.9198118 0.34454873 0.8304445 0.7039586 0.21574502 0.5722434 0.30904418 0.59877527 0.72232944 output (0, 4) (1, 4) (2, 3) (3, 4)
0.34329554 0.3811846 0.71042556 0.85703254 0.010169755 0.18682629 0.85587126 0.56067044 0.27179852 0.1513976 output (0, 4) (0, 3) (1, 3) (2, 4)
0.042472985 0.8341678 0.49719796 0.47845802 0.031727277 0.8508499 0.9278494 0.30301163 0.83926237 0.87567616 output (0, 2) (0, 1) (1, 3) (1, 4)
0.4452798 0.6749489 0.34584957 0.294044 0.11414863 0.94039035 0.96418935 0.4158099 0.6947863 0.19026683 output (0, 1) (0, 2) (1, 4) (3, 4)
0.9385109 0.5498961 0.8904623 0.17512988 0.9449844 0.7056956 0.82687753 0.8464462 0.81777495 0.80815625 output (0, 2) (0, 1) (2, 4) (3, 4)
0.9500115 0.009942623 0.40616477 0.28578898 0.78560084 0.32466593 0.11480043 0.43646988 0.2842306 0.3547294 output (0, 2) (1, 4) (1, 2) (3, 4)
0.6169711 0.70256317 0.5449902 0.5408865 0.66661584 0.15384084 0.6469511 0.62436247 0.17111424 0.6526776 output (0, 3) (1, 3) (1, 4) (1, 2)
0.6983733 0.2883177 0.77648157 0.28503916 0.6093424 0.80400366 0.36890987 0.06537324 0.7489782 0.5371032 output (0, 1) (0, 3) (1, 4) (2, 4)
0.47700158 0.11003091 0.50433654 0.27254704 0.5463605 0.5388739 0.8045417 0.38445917 0.3059665 0.4428822 output (0, 1) (1, 4) (2, 4) (2, 3)
0.17143616 0.24685255 0.16016893 0.3022433 0.1744053 0.022487491 0.28055534 0.87659746 0.42921683 0.06994189 output (0, 1) (0, 2) (1, 3) (2, 4)
0.56353885 0.8050465 0.78140515 0.61641604 0.4780396 0.3648782 0.37002426 0.8184549 0.7421591 0.09515634 output (0, 3) (0, 1) (1, 2) (2, 4)
0.24771579 0.00079233653 0.55453885 0.5429607 0.74011976 0.21095927 0.20250556 0.62523 0.06922415 0.9729426 output (0, 2) (1, 3) (1, 2) (3, 4)
0.0831791 0.26118535 0.32892847 0.22607635 0.9416081 0.17082377 0.41457567 0.98259133 0.3411259 0.3500602 output (0, 1) (1, 4) (1, 2) (3, 4)
0.04964304 0.28145877 0.7738758 0.6876366 0.1107038 0.40434477 0.79486406 0.30098188 0.87680256 0.19021036 output (0, 2) (1, 3) (2, 3) (3, 4)
0.06860454 0.98861015 0.6032339 0.121619426 0.5325954 0.76137596 0.45768806 0.64628273 0.9675175 0.71975625 output (0, 2) (1, 3) (2, 3) (2, 4)
0.71399695 0.43390784 0.26058185 0.38282746 0.7885545 0.17009138 0.41508865 0.18452021 0.56709945 0.7234332 output (0, 2) (0, 4) (1, 3) (2, 3)
0.6513508 0.35224274 0.53155035 0.4062048 0.2954549 0.59545773 0.62571305 0.19341433 0.8105566 0.98857903 output (0, 1) (0, 3) (1, 2) (1, 4)
0.8307165 0.980977 0.6497051 0.9790791 0.4509441 0.5537784 0.8863329 0.9254897 0.96615237 0.76299787 output (0, 3) (0, 1) (1, 2) (3, 4)
0.6961076 0.15281682 0.47046474 0.7678965 0.62834954 0.58993626 0.59141886 0.47860196 0.13568671 0.563756 output (0, 3) (1, 2) (1, 4) (2, 3)
0.28005105 0.6918466 0.7191349 0.26232392 0.5885841 0.812617 0.23240598 0.6827801 0.30372864 0.8872706 output (0, 3) (0, 4) (1, 2) (2, 4)
0.5933493 0.53413063 0.08894967 0.8314602 0.043427445 0.9341861 0.095680684 0.182056 0.5714178 0.5347774 output (0, 4) (1, 2) (1, 4) (3, 4)
0.23586234 0.9396742 0.74196655 0.2797391 0.48795703 0.06363453 0.52130663 0.58773 0.31852502 0.21064064 output (0, 3) (1, 2) (1, 3) (2, 4)
0.76832914 0.4062446 0.104947455 0.5576444 0.099650316 0.30819467 0.96181273 0.30927533 0.6429252 0.4260878 output (0, 4) (0, 3) (1, 2) (1, 4)
0.46885905 0.9758633 0.29564428 0.3404319 0.33954307 0.03596558 0.83137494 0.20487419 0.8371002 0.7135081 output (0, 4) (1, 2) (2, 3) (3, 4)
0.2995346 0.64260167 0.8507881 0.3939193 0.2891744 0.9789231 0.012564412 0.57767195 0.9942154 0.49145785 output (0, 3) (0, 2) (0, 1) (1, 4)
0.90938884 0.7708679 0.56492525 0.11852808 0.169986 0.10285891 0.77278787 0.9303411 0.115504 0.8067363 output (0, 3) (1, 2) (2, 4) (3, 4)
0.64852625 0.054760717 0.58877826 0.081580356 0.9822668 0.507165 0.07560017 0.831456 0.99542236 0.50978976 output (0, 1) (0, 2) (1, 3) (2, 4)
0.34540704 0.59180224 0.29282144 0.73982483 0.47792894 0.00069405494 0.04032417 0.7499492 0.22239959 0.8192273 output (0, 1) (0, 2) (1, 4) (3, 4)
0.2314152 0.1383251 0.33714196 0.105020605 0.73897606 0.39138243 0.032620348 0.3365367 0.11143414 0.36885938 output (0, 1) (0, 4) (1, 2) (3, 4)
0.42291683 0.3715305 0.43141806 0.23627166 0.040019616 0.6114606 0.7706895 0.7321795 0.6465118 0.5537832 output (0, 1) (0, 4) (0, 2) (3, 4)
0.19301854 0.295301 0.29989025 0.80196387 0.71226406 0.7027693 0.27144358 0.804958 0.49685577 0.35411897 output (0, 4) (1, 3) (1, 2) (2, 4)
0.0051729497 0.4699937 0.58954275 0.7472892 0.5832021 0.3881469 0.13883692 0.9763825 0.7347357 0.45017937 output (0, 3) (1, 4) (1, 3) (2, 4)
0.9677462 0.45883748 0.56021404 0.96722054 0.0071676862 0.94917095 0.33513 0.3509252 0.9525172 0.17602201 output (0, 4) (0, 1) (1, 2) (3, 4)
0.4172371 0.93792194 0.36676052 0.9597086 0.58840704 0.63426924 0.8700137 0.9326661 0.9373017 0.17068803 output (0, 1) (0, 2) (2, 3) (2, 4)
0.9245405 0.8995907 0.73246634 0.8937422 0.35374713 0.47382706 0.635155 0.44306022 0.94358754 0.24395497 output (0, 1) (1, 3) (2, 3) (3, 4)
0.65285593 0.4532829 0.6884342 0.51290864 0.60730743 0.6303498 0.43751374 0.30222508 0.32806107 0.5928072 output (0, 1) (0, 3) (1, 2) (2, 4)
0.77450943 0.7371209 0.06143451 0.9879909 0.78766763 0.6444868 0.2871992 0.19390637 0.50810134 0.52958965 output (0, 2) (1, 4) (2, 4) (3, 4)
0.796578 0.76739573 0.5331317 0.3250374 0.71345323 0.45080307 0.79160213 0.13116115 0.39700738 0.3271973 output (0, 2) (1, 4) (1, 2) (1, 3)
0.59886837 0.7670061 0.5713803 0.7404143 0.22713697 0.99916947 0.37044984 0.19506645 0.6404604 0.46231115 output (0, 1) (1, 4) (1, 2) (3, 4)
0.7912361 0.5844457 0.6375968 0.8300051 0.9924783 0.25754887 0.15792152 0.66427416 0.39078835 0.051073797 output (0, 1) (0, 2) (1, 3) (2, 4)
0.51831645 0.5451845 0.34606358 0.17565611 0.87966186 0.16783842 0.75825745 0.6041115 0.06787929 0.27960637 output (0, 3) (0, 1) (1, 4) (2, 3)
0.36626297 0.26147893 0.07617497 0.16757241 0.5324701 0.12224331 0.48424006 0.15488759 0.55700916 0.79393315 output (0, 3) (0, 1) (0, 4) (2, 3)
0.68407077 0.30176803 0.08075641 0.63273835 0.7038752 0.36021277 0.6916358 0.15138769 0.33815527 0.55167663 output (0, 2) (0, 3) (1, 4) (2, 4)
0.5636806 0.05210117 0.48474586 0.3578078 0.7046728 0.8168414 0.24537969 0.12095616 0.08312827 0.61852515 output (0, 1) (0, 3) (1, 4) (1, 2)
0.11776285 0.014194384 0.8375661 0.48770207 0.3698055 0.67736924 0.3083565 0.3379796 0.9435024 0.7758174 output (0, 3) (1, 4) (1, 2) (2, 3)
0.2715375 0.06700189 0.36789602 0.38732928 0.2206765 0.10009654 0.8915492 0.73806006 0.5104975 0.7465274 output (0, 2) (1, 2) (1, 4) (3, 4)
0.77576494 0.4276791 0.7431051 0.29650077 0.5661761 0.052546836 0.62756443 0.8732449 0.39285535 0.347019 output (0, 1) (0, 3) (1, 2) (2, 4)
0.18278354 0.719415 0.41003588 0.029274495 0.8924431 0.66036975 0.3524595 0.22943132 0.2438618 0.1679457 output (0, 3) (1, 3) (2, 3) (3, 4)
0.65666246 0.97647583 0.9935538 0.3287973 0.7962918 0.41914618 0.33965665 0.9838331 0.01751736 0.6171039 output (0, 3) (0, 2) (1, 2) (3, 4)
0.66809565 0.6225512 0.4762449 0.66021925 0.8308834 0.6777344 0.07453976 0.12493606 0.08801645 0.4760423 output (0, 2) (0, 1) (1, 4) (3, 4)
0.19682571 0.76216364 0.5995576 0.65080625 0.32840708 0.5540742 0.944197 0.20916867 0.48417696 0.39558524 output (0, 2) (1, 4) (2, 4) (3, 4)
0.7793606 0.34369132 0.6914415 0.7534536 0.31895965 0.25682575 0.54893005 0.47990575 0.3947037 0.7132739 output (0, 3) (1, 4) (2, 3) (3, 4)
0.34472334 0.03541268 0.31306723 0.013051976 0.6955237 0.5487578 0.9427511 0.94567806 0.11146522 0.30976802 output (0, 1) (0, 2) (1, 4) (2, 3)
0.21916588 0.8928854 0.120896086 0.6251196 0.7108582 0.86117846 0.27690658 0.201854 0.5823551 0.20765936 output (0, 1) (0, 2) (1, 3) (3, 4)
0.012362077 0.62097317 0.5208132 0.12242917 0.7390688 0.5267299 0.4027543 0.9009159 0.050115205 0.87268317 output (0, 4) (1, 2) (2, 3) (3, 4)
0.048518173 0.44602773 0.3273039 0.08099472 0.9343528 0.6621406 0.064474456 0.4013947 0.79302835 0.89471906 output (0, 3) (1, 3) (1, 2) (2, 4)
0.5349974 0.6737703 0.54588705 0.0011322626 0.543155 0.017601592 0.27691275 0.07324898 0.057414375 0.25371 output (0, 4) (1, 2) (2, 3) (3, 4)
0.34044504 0.37909615 0.7594577 0.2311472 0.64631766 0.90200835 0.15976718 0.20072342 0.6087115 0.34987426 output (0, 3) (0, 4) (1, 4) (2, 4)
0.20525047 0.90906537 0.75852036 0.13643862 0.584195 0.58939654 0.7087065 0.639123 0.6886072 0.9083645 output (0, 4) (1, 2) (2, 3) (3, 4)
0.56453824 0.026410324 0.2636319 0.30430976 0.9248379 0.46454075 0.6043044 0.53647685 0.23468576 0.3097832 output (0, 1) (1, 4) (1, 3) (2, 3)
0.7115964 0.59490746 0.21448961 0.26790234 0.15525319 0.09600216 0.5650488 0.037852686 0.85018855 0.07600535 output (0, 4) (1, 2) (2, 3) (3, 4)
0.02454722 0.8227362 0.09892532 0.44716918 0.6162197 0.3150581 0.21352912 0.72506046 0.5189999 0.68094426 output (0, 3) (1, 3) (2, 4) (3, 4)
0.9388188 0.88459516 0.59876275 0.84604484 0.3302847 0.6009385 0.8205465 0.47796088 0.69172657 0.37242404 output (0, 1) (0, 3) (1, 2) (3, 4)
0.111690484 0.44085944 0.27680665 0.47631615 0.16987064 0.744716 0.28635034 0.8860056 0.185997 0.27548122 output (0, 1) (0, 4) (1, 2) (2, 3)
0.9642974 0.2103528 0.2258595 0.76759964 0.2195884 0.4607401 0.7890853 0.12155913 0.42832792 0.5224184 output (0, 3) (1, 2) (2, 4) (3, 4)
0.12876631 0.18328443 0.6527607 0.3362518 0.68329835 0.061107393 0.9149239 0.33357003 0.50973016 0.04106545 output (0, 4) (1, 3) (1, 2) (2, 4)
0.53831935 0.07010246 0.2997343 0.18973522 0.103860594 0.90066296 0.1561211 0.17994988 0.080362506 0.18865666 output (0, 1) (1, 3) (2, 4) (3, 4)
0.39274156 0.24768806 0.25866625 0.044449292 0.9852302 0.29370058 0.7306618 0.6465268 0.13688385 0.074635155 output (0, 1) (0, 3) (1, 4) (2, 3)
0.9609366 0.3317189 0.8311262 0.9199788 0.7496354 0.50512666 0.53803265 0.3389549 0.52077514 0.1322242 output (0, 2) (1, 2) (2, 3) (3, 4)
0.69773877 0.013341895 0.779117 0.28832793 0.72532946 0.39729512 0.4081645 0.74043536 0.6783303 0.81787246 output (0, 1) (1, 2) (2, 4) (3, 4)
0.8721333 0.93001765 0.91699296 0.98155665 0.21908951 0.5662093 0.6549899 0.7759264 0.45473978 0.735731 output (0, 1) (0, 3) (2, 4) (3, 4)
0.81676203 0.3597994 0.08067043 0.8611648 0.9103205 0.3429106 0.20335193 0.4818423 0.8592743 0.03734958 output (0, 2) (0, 3) (1, 3) (2, 4)
0.3858108 0.88234425 0.9797315 0.3106886 0.4547146 0.5536655 0.22504015 0.04803955 0.22318582 0.11950353 output (0, 2) (1, 2) (2, 4) (3, 4)
0.7107079 0.32188275 0.49850354 0.7521623 0.09098666 0.18768086 0.13243611 0.12526017 0.19881046 0.77132964 output (0, 1) (1, 4) (2, 3) (2, 4)
0.88307756 0.32194752 0.56051 0.21434021 0.2972036 0.66836655 0.5117654 0.7301557 0.05280033 0.35077378 output (0, 1) (1, 3) (2, 3) (2, 4)
0.076317236 0.9848191 0.41349787 0.7113571 0.6162736 0.81726414 0.78885555 0.15435115 0.7697699 0.84095347 output (0, 1) (1, 2) (1, 3) (2, 4)
0.24544762 0.50801635 0.5382196 0.5197176 0.08492706 0.5468867 0.6270006 0.55793494 0.52158207 0.16435097 output (0, 2) (0, 1) (1, 3) (1, 4)
0.3049224 0.92687666 0.3059853 0.06468753 0.33153802 0.13449195 0.57439953 0.8649312 0.6375676 0.55917764 output (0, 3) (1, 2) (2, 4) (3, 4)
0.44550186 0.5836982 0.021229776 0.28223118 0.22936955 0.6757861 0.04609984 0.32035628 0.50365466 0.49629223 output (0, 4) (0, 2) (1, 3) (2, 3)
0.17110187 0.57798153 0.021265501 0.097555175 0.56345123 0.5145577 0.93161756 0.037824977 0.5683753 0.07643152 output (0, 2) (0, 1) (2, 4) (3, 4)
0.090883054 0.8268921 0.10675176 0.9678188 0.8009946 0.90172964 0.9198385 0.44074237 0.1915775 0.6723246 output (0, 1) (0, 4) (2, 3) (2, 4)
0.6404342 0.5920693 0.98169553 0.09468371 0.3499806 0.475643 0.17390567 0.5516487 0.03845798 0.44206044 output (0, 2) (0, 1) (2, 3) (3, 4)
0.12329966 0.27676073 0.57469726 0.35923615 0.8823842 0.005536232 0.7011324 0.85097706 0.32438397 0.32237935 output (0, 4) (1, 4) (1, 2) (1, 3)
0.53640515 0.12211899 0.22703238 0.46364537 0.57886904 0.107741885 0.54694045 0.29848906 0.12268691 0.26908007 output (0, 2) (0, 3) (1, 4) (1, 3)
0.19279341 0.021427518 0.02573802 0.51525694 0.4387413 0.87078494 0.6718704 0.8560342 0.24336284 0.6266994 output (0, 1) (1, 4) (2, 3) (2, 4)
0.28804228 0.4051662 0.98850036 0.703878 0.9074064 0.48944575 0.46398565 0.92115176 0.83585376 0.14242154 output (0, 3) (1, 2) (1, 3) (2, 4)
