0.14192165 0.9466213 0.66804695 0.314715 0.018168071 0.68132424 0.8869598 0.32225662 0.20081653 0.14178249 output (0, 2) (1, 3) (1, 4) (2, 4)
0.3574761 0.2720107 0.3995504 0.71412164 0.73451036 0.51119226 0.49455002 0.882535 0.3219873 0.45500714 output (0, 4) (1, 3) (1, 4) (1, 2)
0.87485534 0.16195667 0.04286649 0.7164773 0.17645603 0.5559853 0.52571017 0.48963195 0.98245996 0.97244686 output (0, 3) (1, 2) (2, 3) (3, 4)
0.48752353 0.22039355 0.556071 0.6597038 0.56047237 0.7560775 0.19844402 0.37037125 0.29417264 0.086344086 output (0, 4) (0, 1) (1, 2) (3, 4)
0.18548913 0.9090807 0.7498037 0.64727795 0.547343 0.12681125 0.003083964 0.017224405 0.06104011 0.56418496 output (0, 4) (1, 2) (2, 3) (3, 4)
0.8388744 0.07973754 0.06670181 0.9681576 0.8823929 0.099810466 0.30201408 0.85395736 0.67150444 0.6751792 output (0, 2) (1, 3) (2, 4) (3, 4)
0.31562734 0.54111046 0.43098935 0.44109836 0.30750245 0.46278802 0.8078788 0.04817202 0.18348138 0.43876106 output (0, 2) (1, 2) (1, 3) (2, 4)
0.15371135 0.56349164 0.6342447 0.3295183 0.40985808 0.13702744 0.33450308 0.6290021 0.45994982 0.8863009 output (0, 3) (1, 2) (1, 3) (3, 4)
0.93676645 0.88509166 0.7479591 0.45244083 0.2645321 0.17902876 0.76249003 0.0852455 0.71489424 0.25041577 output (0, 1) (1, 4) (2, 4) (3, 4)
0.82802135 0.793719 0.07623263 0.67486364 0.86871266 0.06458061 0.9321893 0.7057879 0.053779066 0.20520578 output (0, 3) (0, 1) (1, 4) (2, 3)
0.6761749 0.78280556 0.18749842 0.08348308 0.3719082 0.52073365 0.17521927 0.47868755 0.533356 0.52210414 output (0, 4) (1, 3) (2, 4) (2, 3)
0.7479798 0.16109662 0.55816174 0.44262064 0.51220924 0.18603648 0.04586448 0.44442707 0.3391668 0.37295675 output (0, 2) (1, 4) (2, 4) (3, 4)
0.56034535 0.6234922 0.93378264 0.090005934 0.22372065 0.8305464 0.9250342 0.0023273819 0.88014275 0.8611928 output (0, 2) (0, 4) (0, 1) (1, 3)
0.68148845 0.4165716 0.32798305 0.26787332 0.16686521 0.64723355 0.77553254 0.6069435 0.72689223 0.42202905 output (0, 4) (0, 1) (1, 2) (3, 4)
0.29154658 0.26925835 0.5227054 0.940233 0.30789414 0.35709777 0.73875934 0.38231805 0.83841 0.7007022 output (0, 2) (1, 4) (2, 3) (3, 4)
0.37394696 0.02242494 0.8464684 0.29419148 0.23701514 0.04014061 0.874536 0.16446917 0.5464407 0.47451818 output (0, 2) (0, 4) (1, 3) (1, 4)
0.7429673 0.041685384 0.3915349 0.6969239 0.42308635 0.9839991 0.06739216 0.7461994 0.18922414 0.92025536 output (0, 1) (1, 2) (2, 4) (3, 4)
0.67360324 0.55830616 0.7217002 0.76391613 0.068392515 0.7795894 0.6864352 0.049039498 0.8159102 0.5405892 output (0, 4) (0, 1) (0, 2) (3, 4)
0.6471086 0.60764223 0.84785193 0.18041462 0.46954912 0.5267004 0.019100117 0.7065411 0.59047794 0.6342832 output (0, 4) (0, 1) (2, 4) (2, 3)
0.48811287 0.93740577 0.694171 0.94022995 0.16654925 0.3596827 0.35957482 0.18301785 0.9954395 0.51677984 output (0, 1) (0, 2) (1, 4) (2, 3)
0.7460571 0.6188456 0.36491194 0.6683602 0.7164967 0.60388404 0.45503116 0.53775156 0.585209 0.017941352 output (0, 2) (1, 3) (2, 3) (3, 4)
0.96441764 0.977987 0.110739954 0.4879208 0.25087115 0.24196987 0.29077208 0.18299848 0.8331244 0.31792244 output (0, 4) (1, 2) (2, 3) (3, 4)
0.41087726 0.32302856 0.6678823 0.9183162 0.5254882 0.28938037 0.17276357 0.59933347 0.24911751 0.54344696 output (0, 2) (0, 4) (1, 4) (3, 4)
0.5617935 0.9585379 0.6106192 0.68059605 0.55585206 0.23753114 0.4387204 0.64836055 0.97338223 0.2239164 output (0, 1) (1, 3) (2, 4) (2, 3)
0.9919539 0.28577366 0.116326734 0.22606292 0.32030782 0.8513771 0.13618077 0.16402973 0.101984434 0.74932116 output (0, 3) (1, 3) (1, 4) (2, 4)
0.81177455 0.13943782 0.42315483 0.37600285 0.103432156 0.82894677 0.048372597 0.7271679 0.9786431 0.17434898 output (0, 4) (0, 1) (1, 3) (2, 3)
0.20119156 0.37731013 0.0617054 0.35203844 0.17099454 0.8757766 0.15007289 0.30337793 0.47961137 0.42946982 output (0, 3) (0, 4) (0, 2) (1, 3)
0.17024112 0.1608209 0.7858692 0.8644638 0.9403453 0.59333116 0.26070175 0.3040461 0.0019114338 0.56971365 output (0, 3) (1, 2) (2, 3) (3, 4)
0.819074 0.5360625 0.07519998 0.69657046 0.6697375 0.9158036 0.4729566 0.49396226 0.31636813 0.5781154 output (0, 3) (0, 2) (1, 4) (3, 4)
0.29911497 0.25095263 0.5064586 0.3880879 0.88392144 0.91845286 0.26414236 0.5893157 0.6615819 0.38300955 output (0, 1) (1, 4) (1, 3) (2, 4)
0.14564946 0.6978317 0.46417835 0.6386159 0.73514557 0.7700593 0.888056 0.9046454 0.044715494 0.20224729 output (0, 1) (0, 4) (1, 2) (2, 3)
0.3261997 0.025911905 0.66914123 0.26190907 0.15050927 0.08446115 0.68658435 0.31963858 0.85984224 0.6859718 output (0, 2) (0, 1) (1, 3) (3, 4)
0.8550253 0.41873544 0.04146286 0.6257264 0.1929158 0.8734296 0.21506391 0.95192385 0.0394036 0.4008946 output (0, 2) (1, 4) (1, 2) (2, 3)
0.84953207 0.3145073 0.50865436 0.9232109 0.66636103 0.14790717 0.36666894 0.69168586 0.15231146 0.7556041 output (0, 2) (0, 3) (1, 3) (3, 4)
0.35362437 0.65665096 0.75894 0.60071063 0.5335892 0.22857974 0.72402614 0.9944472 0.772214 0.26012978 output (0, 1) (1, 4) (1, 3) (2, 4)
0.9576994 0.38686395 0.9516625 0.754488 0.94702864 0.36340684 0.9339085 0.7685403 0.86725634 0.16358997 output (0, 2) (0, 1) (1, 3) (2, 4)
0.0509428 0.71237063 0.80571806 0.23842794 0.71155864 0.2024935 0.78733796 0.050224878 0.024964776 0.05243612 output (0, 4) (1, 2) (2, 3) (2, 4)
0.5201788 0.7353349 0.497886 0.3421053 0.21237868 0.59803224 0.92377234 0.47440973 0.9318582 0.55479145 output (0, 2) (1, 2) (1, 3) (3, 4)
0.48315853 0.68812954 0.6146631 0.8318634 0.1697093 0.20186818 0.41152257 0.14113954 0.58131844 0.0646385 output (0, 1) (0, 3) (2, 3) (3, 4)
0.8055824 0.76599187 0.22928801 0.12227237 0.3718746 0.7353442 0.6351106 0.66994035 0.42772186 0.5843915 output (0, 3) (1, 4) (2, 4) (3, 4)
0.31548083 0.6330796 0.3751853 0.40085346 0.5868543 0.77433866 0.7234178 0.36769915 0.44550794 0.54956985 output (0, 4) (1, 4) (2, 4) (3, 4)
0.72562534 0.83385766 0.059944417 0.101401635 0.82171345 0.38175416 0.06311333 0.6013826 0.031434268 0.9198352 output (0, 2) (0, 4) (1, 3) (3, 4)
0.41704893 0.5195802 0.49645433 0.26955888 0.85499644 0.36048326 0.2600621 0.080962725 0.48652276 0.69210994 output (0, 4) (0, 1) (1, 3) (1, 2)
